Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Walking","2022-02-10 12:08","2022-02-10 12:49","0:41:32","2.4585859226345863","109.045197740113","117","0:16:53","3.5510753365189256","186.27925369211448","118.80499999999999","206.74100000000055","2.2800000000000002",,"6.999999814563353","77"
"Indoor Cycling","2022-02-08 21:41","2022-02-08 22:00","0:18:52",,"138.90666666666667","155",,,,"126.11900000000045","171.4420000000004",,,"2.9999999205271592","84"
"Cardio Dance","2022-02-08 06:47","2022-02-08 07:03","0:15:48",,"172.98214285714286","190",,,,"122.91999999999987","146.39099999999985",,,"-0.9999999735090341","95"
"Cardio Dance","2022-02-07 06:49","2022-02-07 07:05","0:16:07",,"163.43575418994413","179",,,,"130.51199999999983","171.2259999999998",,,"-1.9999999470180683","86"
"Indoor Cycling","2022-02-06 17:30","2022-02-06 18:07","0:36:50",,"128.77426636568848","155",,,,"220.84500000000023","294.7900000000002",,,"4.999999867545284","69"
"Indoor Walking","2022-02-06 13:05","2022-02-06 13:40","0:34:50","2.223912217482669","121.33568904593639","139","0:15:40","3.8294135061008863","196.6207384820935","135.161","211.56799999999996",,,"5.9999998410543185","74"
"Outdoor Walking","2022-02-05 12:41","2022-02-05 13:19","0:37:45","2.692000619602681","106.05790645879733","130","0:14:01","4.277255167492966","207.91853616100613","145.08300000000025","214.31500000000023","27.830000000000002",,"5.9999998410543185","71"
"Outdoor Walking","2022-02-04 15:30","2022-02-04 16:06","0:35:53","1.945476238384509","106.34782608695652","114","0:18:26","3.2522355524328157","166.56049102786145","76.3740000000002","148.05100000000016","7.33",,"2.9999999205271592","79"
"Indoor Cycling","2022-02-01 19:45","2022-02-01 20:10","0:25:14",,"103.69407894736842","111",,,,"83.25400000000033","136.3880000000003",,,"-1.9999999470180683","68"
"Indoor Cycling","2022-02-01 18:10","2022-02-01 18:44","0:34:08",,"110.85503685503686","125",,,,"177.3650000000005","243.67400000000046",,,"-0.9999999735090341","64"
"Outdoor Walking","2022-02-01 16:39","2022-02-01 17:17","0:37:32","2.678917353620445","104.72638436482085","121","0:14:00","4.2817699478531885","193.21846723975509","116.73400000000038","190.64900000000034","18.04",,"0.999999973509091","63"
"Cardio Dance","2022-01-31 22:07","2022-01-31 22:19","0:10:13",,"150.74107142857142","171",,,,"71.58599999999997","107.87399999999994",,,"-2.9999999205271024","87"
"Outdoor Walking","2022-01-31 16:42","2022-01-31 17:16","0:34:43","2.6200441966188084","106.24111675126903","133","0:13:15","4.526907380463686","206.12564898151857","142.44500000000053","211.6760000000005","28.72",,"1.9999999470181251","65"
"Outdoor Walking","2022-01-31 08:41","2022-01-31 08:49","0:08:02","0.6272003630160655","121.27777777777777","132","0:12:49","4.676351941107032","195.07165324835114","25.260999999999974","54.49099999999995","2.02",,"-0.9999999735090341","78"
"Functional Strength Training","2022-01-31 07:00","2022-01-31 07:11","0:10:54",,"154.86259541984734","176",,,,"70.80000000000004","88.29300000000003",,,"0.00000000000005684341886080802","72"
"Cardio Dance","2022-01-31 06:50","2022-01-31 07:00","0:09:31",,"147.05747126436782","179",,,,"72.30599999999995","86.08499999999995",,,"0.00000000000005684341886080802","72"
"Outdoor Walking","2022-01-30 13:07","2022-01-30 13:34","0:27:20","2.102269749804895","118.35276073619632","137","0:13:00","4.613647361832807","212.31954182496148","109.17700000000005","168.18599999999998","17.77",,"0.999999973509091","73"
"High Intensity Interval Training","2022-01-30 11:23","2022-01-30 11:55","0:31:42",,"155.7421052631579","183",,,,"269.33800000000025","320.9520000000002",,,"0.00000000000005684341886080802","74"
"Cardio Dance","2022-01-29 23:30","2022-01-29 23:47","0:16:32",,"147.37640449438203","175",,,,"116.92399999999994","152.3719999999999",,,"-2.9999999205271024","87"
"Outdoor Walking","2022-01-29 12:24","2022-01-29 12:59","0:34:22","2.6158721891526655","114.57664233576642","141","0:13:08","4.566825730366992","204.92282221507895","134.7769999999999","202.73899999999983","20.52",,"-1.9999999470180683","79"
